NAME,NOC,SPORTS,EVENT,MEDAL
STROLZ Johannes, Austria,Alpine Skiing,Men's Alpine Combined,Gold
FEUZ Beat, Switzerland,Alpine Skiing,Men's Downhill,Gold
ODERMATT Marco, Switzerland,Alpine Skiing,Men's Giant Slalom,Gold
MAYER Matthias, Austria,Alpine Skiing,Men's Super-G,Gold
NOEL Clement, France,Alpine Skiing,Men's Slalom,Gold
GISIN Michelle, Switzerland,Alpine Skiing,Women's Alpine Combined,Gold
SUTER Corinne, Switzerland,Alpine Skiing,Women's Downhill,Gold
HECTOR Sara, Sweden,Alpine Skiing,Women's Giant Slalom,Gold
GUT-BEHRAMI Lara, Switzerland,Alpine Skiing,Women's Super-G,Gold
VLHOVA Petra, Slovakia,Alpine Skiing,Women's Slalom,Gold
BRENNSTEINER Stefan, Austria,Alpine Skiing,Mixed Team Parallel,Gold
HUBER Katharina, Austria,Alpine Skiing,Mixed Team Parallel,Gold
LIENSBERGER Katharina, Austria,Alpine Skiing,Mixed Team Parallel,Gold
MATT Michael, Austria,Alpine Skiing,Mixed Team Parallel,Gold
STROLZ Johannes, Austria,Alpine Skiing,Mixed Team Parallel,Gold
TRUPPE Katharina, Austria,Alpine Skiing,Mixed Team Parallel,Gold
BOE Johannes Thingnes, Norway,Biathlon,Men's 10km Sprint,Gold
FILLON MAILLET Quentin, France,Biathlon,Men's 12.5km Pursuit,Gold
BOE Johannes Thingnes, Norway,Biathlon,Men's 15km Mass Start,Gold
FILLON MAILLET Quentin, France,Biathlon,Men's 20km Individual,Gold
BOE Johannes Thingnes, Norway,Biathlon,Men's 4x7.5km Relay,Gold
BOE Tarjei, Norway,Biathlon,Men's 4x7.5km Relay,Gold
CHRISTIANSEN Vetle Sjaastad, Norway,Biathlon,Men's 4x7.5km Relay,Gold
LAEGREID Sturla Holm, Norway,Biathlon,Men's 4x7.5km Relay,Gold
ROEISELAND Marte Olsbu, Norway,Biathlon,Women's 10km Pursuit,Gold
BRAISAZ-BOUCHET Justine, France,Biathlon,Women's 12.5km Mass Start,Gold
HERRMANN Denise, Germany,Biathlon,Women's 15km Individual,Gold
BRORSSON Mona, Sweden,Biathlon,Women's 4x6km Relay,Gold
OEBERG Elvira, Sweden,Biathlon,Women's 4x6km Relay,Gold
OEBERG Hanna, Sweden,Biathlon,Women's 4x6km Relay,Gold
PERSSON Linn, Sweden,Biathlon,Women's 4x6km Relay,Gold
ROEISELAND Marte Olsbu, Norway,Biathlon,Women's 7.5km Sprint,Gold
BOE Johannes Thingnes, Norway,Biathlon,Mixed Relay 4x6km (W+M),Gold
BOE Tarjei, Norway,Biathlon,Mixed Relay 4x6km (W+M),Gold
ECKHOFF Tiril, Norway,Biathlon,Mixed Relay 4x6km (W+M),Gold
ROEISELAND Marte Olsbu, Norway,Biathlon,Mixed Relay 4x6km (W+M),Gold
FRIEDRICH Francesco, Germany,Bobsleigh,2-man,Gold
MARGIS Thorsten, Germany,Bobsleigh,2-man,Gold
BAUER Candy, Germany,Bobsleigh,4-man,Gold
FRIEDRICH Francesco, Germany,Bobsleigh,4-man,Gold
MARGIS Thorsten, Germany,Bobsleigh,4-man,Gold
SCHUELLER Alexander, Germany,Bobsleigh,4-man,Gold
HUMPHRIES Kaillie, United States of America,Bobsleigh,Women's Monobob,Gold
LEVI Deborah, Germany,Bobsleigh,2-woman,Gold
NOLTE Laura, Germany,Bobsleigh,2-woman,Gold
NISKANEN Iivo, Finland,Cross-Country Skiing,Men's 15km Classic,Gold
BOLSHUNOV Alexander, ROC,Cross-Country Skiing,Men's 4 x 10km Relay,Gold
CHERVOTKIN Alexey, ROC,Cross-Country Skiing,Men's 4 x 10km Relay,Gold
SPITSOV Denis, ROC,Cross-Country Skiing,Men's 4 x 10km Relay,Gold
USTIUGOV Sergey, ROC,Cross-Country Skiing,Men's 4 x 10km Relay,Gold
BOLSHUNOV Alexander, ROC,Cross-Country Skiing,Men's 50km Mass Start Free,Gold
BOLSHUNOV Alexander, ROC,Cross-Country Skiing,Men's 15km + 15km Skiathlon,Gold
KLAEBO Johannes Hoesflot, Norway,Cross-Country Skiing,Men's Sprint Free,Gold
KLAEBO Johannes Hoesflot, Norway,Cross-Country Skiing,Men's Team Sprint Classic,Gold
VALNES Erik, Norway,Cross-Country Skiing,Men's Team Sprint Classic,Gold
JOHAUG Therese, Norway,Cross-Country Skiing,Women's 10km Classic,Gold
JOHAUG Therese, Norway,Cross-Country Skiing,Women's 30km Mass Start Free,Gold
NEPRYAEVA Natalia, ROC,Cross-Country Skiing,Women's 4 x 5km Relay,Gold
SORINA Tatiana, ROC,Cross-Country Skiing,Women's 4 x 5km Relay,Gold
STEPANOVA Veronika, ROC,Cross-Country Skiing,Women's 4 x 5km Relay,Gold
STUPAK Yulia, ROC,Cross-Country Skiing,Women's 4 x 5km Relay,Gold
JOHAUG Therese, Norway,Cross-Country Skiing,Women's 7.5km + 7.5km Skiathlon,Gold
SUNDLING Jonna, Sweden,Cross-Country Skiing,Women's Sprint Free,Gold
CARL Victoria, Germany,Cross-Country Skiing,Women's Team Sprint Classic,Gold
HENNIG Katharina, Germany,Cross-Country Skiing,Women's Team Sprint Classic,Gold
EDIN Niklas, Sweden,Curling,Men,Gold
