week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
2021-11-14,Films (English),1,Red Notice,,1
2021-11-14,Films (English),2,Meenakshi Sundareshwar,,2
2021-11-14,Films (English),3,Doctor (Tamil),,2
2021-11-14,Films (English),4,Love Hard,,2
2021-11-14,Films (English),5,Doctor (Telugu),,2
2021-11-14,Films (English),6,Army of Thieves,,3
2021-11-14,Films (English),7,Maha Samudram,,1
2021-11-14,Films (English),8,Monster Hunter,,1
2021-11-14,Films (English),9,Last Christmas,,1
2021-11-14,Films (English),10,The Wedding Guest,,2
2021-11-14,TV (English),1,Squid Game,Squid Game: Season 1,9
2021-11-14,TV (English),2,Narcos: Mexico,Narcos: Mexico: Season 3,2
2021-11-14,TV (English),3,The Good Doctor,The Good Doctor: Season 4,2
2021-11-14,TV (English),4,Call My Agent Bollywood,Call My Agent Bollywood: Season 1,3
2021-11-14,TV (English),5,Locke & Key,Locke & Key: Season 2,4
2021-11-14,TV (English),6,You,You: Season 3,5
2021-11-14,TV (English),7,Money Heist,Money Heist: Part 1,20
2021-11-14,TV (English),8,The Good Doctor,The Good Doctor: Season 1,10
2021-11-14,TV (English),9,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,8
2021-11-14,TV (English),10,Locke & Key,Locke & Key: Season 1,3
2021-11-07,Films (English),1,Meenakshi Sundareshwar,,1
2021-11-07,Films (English),2,Army of Thieves,,2
2021-11-07,Films (English),3,Doctor (Tamil),,1
2021-11-07,Films (English),4,Venom,,1
2021-11-07,Films (English),5,Doctor (Telugu),,1
2021-11-07,Films (English),6,The Wedding Guest,,1
2021-11-07,Films (English),7,A Simple Favor,,1
2021-11-07,Films (English),8,Love Hard,,1
2021-11-07,Films (English),9,The Harder They Fall,,1
2021-11-07,Films (English),10,Army of the Dead,,1
2021-11-07,TV (English),1,Squid Game,Squid Game: Season 1,8
2021-11-07,TV (English),2,Call My Agent Bollywood,Call My Agent Bollywood: Season 1,2
2021-11-07,TV (English),3,Locke & Key,Locke & Key: Season 2,3
2021-11-07,TV (English),4,You,You: Season 3,4
2021-11-07,TV (English),5,The Good Doctor,The Good Doctor: Season 4,1
2021-11-07,TV (English),6,Money Heist,Money Heist: Part 1,19
2021-11-07,TV (English),7,Locke & Key,Locke & Key: Season 1,2
2021-11-07,TV (English),8,Narcos: Mexico,Narcos: Mexico: Season 3,1
2021-11-07,TV (English),9,Dynasty,Dynasty: Season 4,2
2021-11-07,TV (English),10,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,7
2021-10-31,Films (English),1,Army of Thieves,,1
2021-10-31,Films (English),2,Laabam,,2
2021-10-31,Films (English),3,After We Fell,,2
2021-10-31,Films (English),4,Night Teeth,,2
2021-10-31,Films (English),5,Mimi,,14
2021-10-31,Films (English),6,Thalaivii,,6
2021-10-31,Films (English),7,Hypnotic,,1
2021-10-31,Films (English),8,Haseen Dillruba,,16
2021-10-31,Films (English),9,Palm Springs,,1
2021-10-31,Films (English),10,The Equalizer 2,,3
2021-10-31,TV (English),1,Squid Game,Squid Game: Season 1,7
2021-10-31,TV (English),2,Locke & Key,Locke & Key: Season 2,2
2021-10-31,TV (English),3,You,You: Season 3,3
2021-10-31,TV (English),4,Call My Agent Bollywood,Call My Agent Bollywood: Season 1,1
2021-10-31,TV (English),5,Dynasty,Dynasty: Season 4,1
2021-10-31,TV (English),6,Locke & Key,Locke & Key: Season 1,1
2021-10-31,TV (English),7,My Name,My Name: Season 1,2
2021-10-31,TV (English),8,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,6
