short_name,long_name,overall,age,dob,height_cm,weight_kg,club_position,Position,club_name,league_name,nationality_name,club_jersey_number,preferred_foot
L. Messi,Lionel Andrés Messi Cuccittini,93,34,1987-06-24,170,72,RW,Forward,Paris Saint-Germain,French Ligue 1,Argentina,30,Left
R. Lewandowski,Robert Lewandowski,92,32,1988-08-21,185,81,ST,Forward,FC Bayern München,German 1. Bundesliga,Poland,9,Right
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,91,36,1985-02-05,187,83,ST,Forward,Manchester United,English Premier League,Portugal,7,Right
Neymar Jr,Neymar da Silva Santos Júnior,91,29,1992-02-05,175,68,LW,Forward,Paris Saint-Germain,French Ligue 1,Brazil,10,Right
K. De Bruyne,Kevin De Bruyne,91,30,1991-06-28,181,70,RCM,Midfield,Manchester City,English Premier League,Belgium,17,Right
J. Oblak,Jan Oblak,91,28,1993-01-07,188,87,GK,GK,Atlético de Madrid,Spain Primera Division,Slovenia,13,Right
K. Mbappé,Kylian Mbappé Lottin,91,22,1998-12-20,182,73,ST,Forward,Paris Saint-Germain,French Ligue 1,France,7,Right
M. Neuer,Manuel Peter Neuer,90,35,1986-03-27,193,93,GK,GK,FC Bayern München,German 1. Bundesliga,Germany,1,Right
M. ter Stegen,Marc-André ter Stegen,90,29,1992-04-30,187,85,GK,GK,FC Barcelona,Spain Primera Division,Germany,1,Right
H. Kane,Harry Kane,90,27,1993-07-28,188,89,ST,Forward,Tottenham Hotspur,English Premier League,England,10,Right
N. Kanté,N'Golo Kanté,90,30,1991-03-29,168,70,RCM,Midfield,Chelsea,English Premier League,France,7,Right
S. Mané,Sadio Mané,89,29,1992-04-10,175,69,LW,Forward,Liverpool,English Premier League,Senegal,10,Right
G. Donnarumma,Gianluigi Donnarumma,89,22,1999-02-25,196,90,GK,GK,Paris Saint-Germain,French Ligue 1,Italy,50,Right
Alisson,Alisson Ramsés Becker,89,28,1992-10-02,191,91,GK,GK,Liverpool,English Premier League,Brazil,1,Right
Ederson,Ederson Santana de Moraes,89,27,1993-08-17,188,86,GK,GK,Manchester City,English Premier League,Brazil,31,Left
M. Salah,Mohamed Salah Ghaly,89,29,1992-06-15,175,71,RW,Forward,Liverpool,English Premier League,Egypt,11,Left
J. Kimmich,Joshua Walter Kimmich,89,26,1995-02-08,177,75,RDM,Midfield,FC Bayern München,German 1. Bundesliga,Germany,6,Right
V. van Dijk,Virgil van Dijk,89,29,1991-07-08,193,92,LCB,Defender,Liverpool,English Premier League,Netherlands,4,Right
K. Benzema,Karim Benzema,89,33,1987-12-19,185,81,CF,Forward,Real Madrid CF,Spain Primera Division,France,9,Right
H. Son,손흥민 孙兴慜,89,28,1992-07-08,183,78,LW,Forward,Tottenham Hotspur,English Premier League,Korea Republic,7,Right
T. Courtois,Thibaut Courtois,89,29,1992-05-11,199,96,GK,GK,Real Madrid CF,Spain Primera Division,Belgium,1,Left
Casemiro,Carlos Henrique Venancio Casimiro,89,29,1992-02-23,185,84,CDM,Midfield,Real Madrid CF,Spain Primera Division,Brazil,14,Right
E. Haaland,Erling Braut Haaland,88,20,2000-07-21,194,94,RS,Forward,Borussia Dortmund,German 1. Bundesliga,Norway,9,Left
Bruno Fernandes,Bruno Miguel Borges Fernandes,88,26,1994-09-08,179,69,CAM,Midfield,Manchester United,English Premier League,Portugal,18,Right
R. Lukaku,Romelu Lukaku Menama,88,28,1993-05-13,191,94,ST,Forward,Chelsea,English Premier League,Belgium,9,Left
T. Kroos,Toni Kroos,88,31,1990-01-04,183,76,LCM,Midfield,Real Madrid CF,Spain Primera Division,Germany,8,Right
L. Suárez,Luis Alberto Suárez Díaz,88,34,1987-01-24,182,83,RS,Forward,Atlético de Madrid,Spain Primera Division,Uruguay,9,Right
Sergio Ramos,Sergio Ramos García,88,35,1986-03-30,184,82,LCB,Defender,Paris Saint-Germain,French Ligue 1,Spain,4,Right
M. Verratti,Marco Verratti,87,28,1992-11-05,165,60,LCM,Midfield,Paris Saint-Germain,French Ligue 1,Italy,6,Right
